"Name","Purpose Statement","Affiliation"
"The Alliance of Students with Disabilities for Inclusion, Networking, and Transition Opportunities in STEM at The Ohio State University","The Alliance of Students with Disabilities for Inclusion, Networking, and Transition Opportunities in STEM at The Ohio State University (TAP...","Columbus, Academic/College, Awareness/Activism, Special Interest, Technology"
"1 Day For The K.I.A., Inc.","1 Day for the K.I.A.’s purpose is to raise awareness and commemorate fallen military service members. 1 Day for the K.I.A. accomplishes our ...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest,"
"1825 at Ohio State","To help students at The Ohio State University come to faith, and grow in their walks with the Lord. To see God change people through spiritu...","Columbus, Religious/Spiritual, Awareness/Activism, Ethnic/Cultural"
"The 2nd and 7 Foundation Medical Branch","The mission of the 2nd and 7 Foundation Medical Branch at the Ohio State University College of Medicine is to promote literacy and healthy h...","Columbus, Community Service/Service Learning, Awareness/Activism"
"3D Dance Team","Our organization will provide a creative outlet for aspiring dancers. We strive to expose our members as well as our audiences to the art of...","Columbus, Creative and Performing Arts, Special Interest, Sports and Recreation"
"4 Paws For Ability at Ohio State","We work as a college branch of 4 Paws for Ability to train obedience and socialize service dogs in training on campus. Our parent organizati...","Columbus, Community Service/Service Learning, Awareness/Activism, Special Interest"
"4-Wall Handball Club","This organization is dedicated to the growth and development of the sport of handball for all ages and skill levels in order to better promo...","Columbus, Sports and Recreation"
"412 Teens","412 at Ohio State is a non-denominational student Christian Organization seeking o provide a spiritual environment for students desiring to ...","Columbus, Religious/Spiritual, Awareness/Activism, Community Service/Service Learning,"
"5210! Healthy LifeStars","To increase efforts toward improving childhood nutrition and physical activity and preventing the onset of Type II Diabetes in the youth of ...","Columbus, Community Service/Service Learning, Awareness/Activism, Sports and Recreation"
"614college","We are unapologetically and radically obsessed with Jesus. Come find out why","Columbus, Religious/Spiritual, Community Service/Service Learning,"
"8-Bit Buckeyes","The primary goal of 8-Bit Buckeyes is to create a fun, inclusive environment that connects members of the OSU community through playing loca...","Columbus, Special Interest, Sports and Recreation, Technology"
"8th Floor Improv Comedy Group","To provide Ohio State - and all of Columbus - with a unique brand of comedic entertainment, focusing on long-form improv comedy.","Columbus, Creative and Performing Arts, Special Interest"
"A Chance for Change","The purpose of this organization is to create student supported discussion and action on the topics of inequality, engage students to become...","Newark, Special Interest"
"A Kid Again at Ohio State","The Ohio State A Kid Again Club is a student organization that was created to serve the local Columbus chapter of A Kid Again.  A Kid Again ...","Columbus, Community Service/Service Learning, Awareness/Activism"
"A Moment Of Magic at Ohio State","A Moment of Magic's purpose is to instill happiness and hope in children who have disabilities or medical vulnerabilities. A Moment of Magic...","Columbus, Community Service/Service Learning, Awareness/Activism, Special Interest, Creative and Performing Arts"
"The Academic Team at The Ohio State University","We aim to promote the spirit of engaging and enriching academic competition at the Ohio State University.","Columbus, Academic/College, Sports and Recreation, Special Interest"
