"Major","Degree","Campus","College/School"
"Accounting","BS","Columbus","Business"
"Actuarial Science","BS","Columbus","Arts and Sciences"
"Aerospace Engineering","BS","Columbus","Engineering"
"African American and African Studies","BA","Columbus","Arts and Sciences"
"Agribusiness","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Agribusiness and Applied Economics","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Agricultural Communication","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Agricultural Communication","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Agricultural Systems Management","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Agricultural Systems Management","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Agriculture, Exploring","","Columbus","Food, Agricultural and Environmental Sciences"
"Agriscience Education","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Agriscience Education","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Agronomy","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Ancient History and Classics","BA","Columbus","Arts and Sciences"
"Animal Sciences","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Animal Sciences","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Anthropological Sciences","BS","Columbus","Arts and Sciences"
"Anthropology","BA","Columbus","Arts and Sciences"
"Arabic","BA","Columbus","Arts and Sciences"
"Architecture","BS","Columbus","Architecture"
"Art","BA, BFA","Columbus","Arts and Sciences"
"Art Education","","Columbus","Arts and Sciences"
"Arts and Sciences, Undecided","","Columbus","Arts and Sciences"
"Arts Management","BA","Columbus","Arts and Sciences"
"Astronomy and Astrophysics","BS","Columbus","Arts and Sciences"
"Atmospheric Sciences","BS","Columbus","Arts and Sciences"
"Aviation","BS, BA","Columbus","Engineering"
"Aviation Management","BS","Columbus","Business"
"Biochemical Sciences","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Biochemistry","BS, BA","Columbus","Arts and Sciences"
"Biology","BS, BA","Columbus, Lima, Marion, Mansfield","Arts and Sciences"
"Biomedical Engineering","BS","Columbus","Engineering"
"Biomedical Science","BS","Columbus","Medicine"
"Business Administration, Undecided","","Columbus","Business"
"Business Management","BS","Lima, Marion, Mansfield, Newark","Business"
"Business Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Chemical Engineering","BS","Columbus","Engineering"
"Chemistry","BS, BA","Columbus","Arts and Sciences"
"Child and Youth Studies","BS","Columbus, Lima, Marion, Mansfield, Newark","Education and Human Ecology"
"Chinese","BA","Columbus","Arts and Sciences"
"City and Regional Planning","BS","Columbus","Architecture"
"Civil Engineering","BS","Columbus","Engineering"
"Classics","BA","Columbus","Arts and Sciences"
"Communication","BA","Columbus","Arts and Sciences"
"Community Leadership","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Community Leadership","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Comparative Studies","BA","Columbus","Arts and Sciences"
"Computer and Information Science","BS, BA","Columbus","Arts and Sciences"
"Computer Science and Engineering","BS","Columbus","Engineering"
"Construction Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Construction Systems Management","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Construction Systems Management","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Consumer and Family Financial Services","BS","Columbus","Education and Human Ecology"
"Criminology and Criminal Justice Studies","BA","Columbus, Marion, Mansfield","Arts and Sciences"
"Crop Management and Soil Conservation","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Culinary Science","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Dairy Cattle Production and Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Dance","BFA","Columbus","Arts and Sciences"
"Data Analytics","BS","Columbus","Arts and Sciences"
"Dental Hygiene","BS","Columbus","Dental Hygiene"
"Dental Hygiene (baccalaureate completion program)","BS","Columbus, Lima","Dental Hygiene"
"Earth Sciences","BS, BA","Columbus","Arts and Sciences"
"Economics","BS, BA","Columbus","Arts and Sciences"
"Economics – Business","BS","Columbus","Business"
"Education – Integrated Language Arts/English Education","BS","Columbus","Education and Human Ecology"
"Education – Middle Childhood Education","BS","Columbus, Lima, Marion, Mansfield, Newark","Education and Human Ecology"
"Education – Primary Education","BS","Columbus, Lima, Marion, Mansfield, Newark","Education and Human Ecology"
"Education – Science and Mathematics Education","BS","Columbus","Education and Human Ecology"
"Education – Special Education","BS","Columbus","Education and Human Ecology"
"Education – Teaching English to Speakers of Other Languages","BS","Columbus","Education and Human Ecology"
"Education – Technical Education and Training","BS","Columbus","Education and Human Ecology"
"Education – World Language Education","BS","Columbus","Education and Human Ecology"
"Electrical and Computer Engineering","BS","Columbus","Engineering"
"Engineering Physics","BS","Columbus","Engineering"
"Engineering Technology","BS","Lima, Marion, Mansfield, Newark","Engineering"
"English","BA","Columbus, Lima, Marion, Mansfield, Newark","Arts and Sciences"
"Entomology","BS, BA","Columbus","Food, Agricultural and Environmental Sciences"
"Environment and Natural Resources","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Environment and Natural Resources, Undecided","","Columbus","Environment and Natural Resources"
"Environment, Economy, Development and Sustainability","BS","Columbus","Environment and Natural Resources"
"Environmental Engineering","BS","Columbus","Engineering"
"Environmental Policy and Decision Making","BS","Columbus","Environment and Natural Resources"
"Environmental Science","BS","Columbus","Environment and Natural Resources"
"Evolution and Ecology","BS","Columbus","Arts and Sciences"
"Exercise Science Education","BS","Columbus","Education and Human Ecology"
"Fashion and Retail Studies","BS","Columbus","Education and Human Ecology"
"Film Studies","BA","Columbus","Arts and Sciences"
"Finance","BS","Columbus","Business"
"Food Business Management","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Food Science and Technology","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Food, Agricultural and Biological Engineering","BS","Columbus","Engineering"
"Forensic Anthropology","BS","Columbus","Arts and Sciences"
"Forestry, Fisheries and Wildlife","BS","Columbus","Environment and Natural Resources"
"French","BA","Columbus","Arts and Sciences"
"French and Francophone Studies","BA","Columbus","Arts and Sciences"
"Geographic Information Science","BS","Columbus","Arts and Sciences"
"Geography","BS, BA","Columbus","Arts and Sciences"
"German","BA","Columbus","Arts and Sciences"
"Greenhouse and Nursery Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Health and Rehabilitation Sciences, Undecided","","Columbus","Health and Rehabilitation Sciences"
"Health and Wellness","BS","Columbus","Nursing"
"Health Information Management and Systems","BS","Columbus","Health and Rehabilitation Sciences"
"Health Promotion, Nutrition and Exercise Science","BS","Columbus","Education and Human Ecology"
"Health Sciences","BS","Columbus, Lima","Health and Rehabilitation Sciences"
"Hebrew and Jewish Studies","BA","Columbus","Arts and Sciences"
"History","BA","Columbus, Lima, Marion, Mansfield, Newark","Arts and Sciences"
"History of Art","BA","Columbus","Arts and Sciences"
"Horse Production and Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Horticultural Science","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Hospitality Management","BS","Columbus","Education and Human Ecology"
"Human Development and Family Science","BS","Columbus","Education and Human Ecology"
"Human Nutrition","BS","Columbus","Education and Human Ecology"
"Human Resources","BS","Columbus","Business"
"Hydraulic Power and Motion Control","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Hydraulic Service and Repair","","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Industrial and Systems Engineering","BS","Columbus","Engineering"
"Industrial Design","BSD","Columbus","Arts and Sciences"
"Information Systems","BS","Columbus","Business"
"Insurance","BS","Columbus","Business"
"Integrated Major in Mathematics and English","BS","Columbus","Arts and Sciences"
"Interior Design","BSD","Columbus","Arts and Sciences"
"International Business","BS","Columbus","Business"
"International Studies","BS, BA","Columbus","Arts and Sciences"
"Islamic Studies","BA","Columbus","Arts and Sciences"
"Italian","BA","Columbus","Arts and Sciences"
"Italian Studies","BA","Columbus","Arts and Sciences"
"Japanese","BA","Columbus","Arts and Sciences"
"Journalism","BA","Columbus","Arts and Sciences"
"Korean","BA","Columbus","Arts and Sciences"
"Landscape Architecture","BS","Columbus","Architecture"
"Landscape Horticulture","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Linguistics","BA","Columbus","Arts and Sciences"
"Livestock Production and Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Logistics Management","BS","Columbus","Business"
"Marketing","BS","Columbus","Business"
"Materials Science and Engineering","BS","Columbus","Engineering"
"Mathematics","BS","Columbus","Arts and Sciences"
"Mechanical Engineering","BS","Columbus","Engineering"
